Tamanho,Intercala,Merge
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0.000001,0
9,0.000001,0.000001
10,0.000001,0.000001
11,0.000001,0.000001
12,0.000001,0.000001
13,0.000002,0.000001
14,0.000001,0.000001
15,0.000001,0.000001
16,0.000001,0.000001
17,0.000001,0.000001
18,0.000002,0.000001
19,0.000002,0.000001
20,0.000002,0.000001
21,0.000002,0.000001
22,0.000002,0.000002
23,0.000002,0.000001
24,0.000002,0.000002
25,0.000002,0.000002
26,0.000003,0.000002
27,0.000002,0.000002
28,0.000003,0.000002
29,0.000003,0.000002
30,0.000003,0.000002
31,0.000003,0.000002
32,0.000003,0.000002
33,0.000003,0.000002
34,0.000003,0.000003
35,0.000004,0.000003
36,0.000004,0.000003
37,0.000004,0.000003
38,0.000004,0.000003
39,0.000004,0.000003
40,0.000004,0.000003
41,0.000005,0.000003
42,0.000005,0.000004
43,0.000005,0.000004
44,0.000005,0.000004
45,0.000005,0.000004
46,0.000005,0.000004
47,0.000005,0.000004
48,0.000005,0.000004
49,0.000006,0.000005
50,0.000006,0.000005
51,0.000006,0.000004
52,0.000006,0.000005
53,0.000006,0.000005
54,0.000006,0.000005
55,0.000006,0.000005
56,0.000006,0.000005
57,0.000007,0.000005
58,0.000007,0.000005
59,0.000007,0.000005
60,0.000007,0.000006
61,0.000007,0.000005
62,0.000007,0.000006
63,0.000007,0.000006
64,0.000007,0.000006
65,0.000008,0.000006
66,0.000008,0.000006
67,0.000008,0.000007
68,0.000008,0.000007
69,0.000009,0.000007
70,0.000009,0.000007
71,0.000009,0.000007
72,0.000009,0.000007
73,0.000009,0.000008
74,0.000009,0.000007
75,0.000009,0.000007
76,0.000009,0.000008
77,0.000009,0.000008
78,0.00001,0.000008
79,0.00001,0.000008
80,0.00001,0.000008
81,0.00001,0.000009
82,0.00001,0.000008
83,0.000011,0.000008
84,0.000011,0.000009
85,0.000011,0.000009
86,0.000011,0.000009
87,0.000011,0.000009
88,0.000012,0.00001
89,0.000011,0.000009
90,0.000012,0.00001
91,0.000012,0.000009
92,0.000012,0.00001
93,0.000012,0.00001
94,0.000012,0.00001
95,0.000013,0.000011
96,0.000013,0.00001
97,0.000013,0.000011
98,0.000013,0.000011
99,0.000013,0.000011
100,0.000013,0.000011
101,0.000013,0.000011
102,0.000022,0.000012
103,0.000014,0.000012
104,0.000014,0.000011
105,0.000014,0.000012
106,0.000014,0.000012
107,0.000014,0.000011
108,0.000014,0.000012
109,0.000014,0.000012
110,0.000015,0.000012
111,0.000014,0.000012
112,0.000015,0.000013
113,0.000015,0.000013
114,0.000015,0.000013
115,0.000016,0.000013
116,0.000015,0.000013
117,0.000016,0.000013
118,0.000016,0.000013
119,0.000016,0.000014
120,0.000016,0.000013
121,0.000016,0.000014
122,0.000016,0.000014
123,0.000017,0.000014
124,0.000017,0.000015
125,0.000017,0.000014
126,0.000016,0.000015
