Tamanho	MS	QS
1000	0.000977	0
2000	0.000976	0
3000	0.000977	0.000976
4000	0.000977	0.000977
5000	0.000977	0.000976
6000	0.001953	0.001954
7000	0.001953	0.001953
8000	0.001953	0.001953
9000	0.00293	0.002929
10000	0.00293	0.00293
11000	0.003906	0.00293
12000	0.003906	0.00293
13000	0.003906	0.00293
14000	0.004882	0.00293
15000	0.004883	0.003906
16000	0.005859	0.003906
17000	0.004883	0.004883
18000	0.00586	0.003906
19000	0.006836	0.004883
20000	0.006836	0.004882
21000	0.006836	0.005859
22000	0.007812	0.016602
23000	0.010742	0.004883
24000	0.007813	0.005859
25000	0.007813	0.00586
26000	0.008789	0.006836
27000	0.016601	0.006836
28000	0.009766	0.006835
29000	0.009766	0.007812
30000	0.009765	0.007813
31000	0.010742	0.007813
32000	0.011719	0.007812
33000	0.014648	0.00879
34000	0.011718	0.008789
35000	0.011719	0.009765
36000	0.012695	0.008789
37000	0.011719	0.009765
38000	0.012695	0.009765
39000	0.013671	0.009766
40000	0.013672	0.010742
41000	0.013672	0.010742
42000	0.014648	0.010742
43000	0.014648	0.008789
44000	0.015625	0.015625
45000	0.020508	0.011719
46000	0.015625	0.012695
47000	0.015625	0.012695
48000	0.016602	0.012695
49000	0.017578	0.012695
50000	0.017578	0.019531
51000	0.023438	0.015625
52000	0.023437	0.015625
53000	0.015625	0.015625
54000	0.026368	0.013672
55000	0.019531	0.015625
56000	0.02832	0.014648
57000	0.019531	0.014648
58000	0.020508	0.014648
59000	0.020508	0.016601
60000	0.02832	0.019531
61000	0.032227	0.015625
62000	0.033204	0.015625
63000	0.023437	0.015625
64000	0.015625	0.023437
65000	0.035156	0.017578
66000	0.023438	0.017578
67000	0.023438	0.017578
68000	0.023438	0.018554
69000	0.024414	0.018555
70000	0.024414	0.018555
71000	0.02832	0.015625
72000	0.029297	0.018555
73000	0.026368	0.019531
74000	0.025391	0.019531
75000	0.02832	0.023438
76000	0.03125	0.023437
77000	0.03125	0.015625
78000	0.023437	0.023438
79000	0.037109	0.021485
80000	0.02832	0.021485
81000	0.02832	0.022461
82000	0.028321	0.022461
83000	0.030273	0.023438
84000	0.030273	0.019531
85000	0.03125	0.024414
86000	0.030273	0.023438
87000	0.03125	0.023438
88000	0.032227	0.023437
89000	0.03125	0.023437
90000	0.040039	0.023437
91000	0.03125	0.023437
92000	0.039063	0.023437
93000	0.039063	0.023437
94000	0.03125	0.023437
95000	0.03125	0.023437
96000	0.039062	0.023438
97000	0.03125	0.023438
98000	0.039063	0.023437
99000	0.03125	0.03125
100000	0.039062	0.023438
101000	0.039063	0.023437
102000	0.039062	0.023438
103000	0.039063	0.023437
104000	0.039062	0.03125
105000	0.039063	0.03125
106000	0.039062	0.03125
107000	0.039062	0.023438
108000	0.039063	0.03125
109000	0.039063	0.023437
110000	0.039062	0.03125
111000	0.039062	0.03125
112000	0.039062	0.03125
113000	0.039062	0.03125
114000	0.047851	0.03125
115000	0.039062	0.03125
116000	0.039062	0.03125
117000	0.039062	0.03125
118000	0.046875	0.03125
119000	0.046875	0.03125
120000	0.046875	0.03125
121000	0.039062	0.03125
122000	0.046875	0.03125
123000	0.046875	0.03125
124000	0.046875	0.03125
125000	0.046875	0.03125
126000	0.046875	0.03125
127000	0.046875	0.03125
128000	0.046875	0.039062
129000	0.046875	0.03125
130000	0.046875	0.039063
131000	0.046875	0.03125
132000	0.046875	0.039062
133000	0.046875	0.039062
134000	0.046875	0.039062
135000	0.046875	0.039062
136000	0.054687	0.03125
137000	0.054687	0.03125
138000	0.054687	0.039063
139000	0.046875	0.039063
140000	0.054688	0.039062
141000	0.046875	0.039062
142000	0.054687	0.039063
143000	0.063477	0.03125
144000	0.054688	0.039062
145000	0.054687	0.039063
146000	0.054688	0.039062
147000	0.054687	0.039063
148000	0.0625	0.039063
149000	0.054688	0.039062
150000	0.054687	0.039063
151000	0.0625	0.039063
152000	0.054688	0.039062
153000	0.054688	0.039062
154000	0.0625	0.039062
155000	0.0625	0.045898
156000	0.058594	0.042969
