Tamanho	Merge	Insertion
1	0	0
2	1e-06	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	1e-06	0
10	1e-06	0
11	1e-06	0
12	1e-06	0
13	1e-06	0
14	1e-06	0
15	1e-06	0
16	2e-06	0
17	2e-06	0
18	2e-06	0
19	2e-06	0
20	2e-06	1e-06
21	2e-06	1e-06
22	2e-06	0
23	3e-06	1e-06
24	3e-06	1e-06
25	3e-06	1e-06
26	3e-06	1e-06
27	3e-06	1e-06
28	4e-06	1e-06
29	3e-06	1e-06
30	4e-06	1e-06
31	4e-06	1e-06
32	4e-06	1e-06
33	4e-06	2e-06
34	4e-06	2e-06
35	5e-06	2e-06
36	5e-06	2e-06
37	5e-06	2e-06
38	5e-06	2e-06
39	5e-06	2e-06
40	5e-06	2e-06
41	5e-06	3e-06
42	6e-06	2e-06
43	6e-06	2e-06
44	6e-06	2e-06
45	6e-06	3e-06
46	6e-06	3e-06
47	6e-06	3e-06
48	6e-06	3e-06
49	7e-06	3e-06
50	7e-06	3e-06
51	7e-06	3e-06
52	7e-06	3e-06
53	7e-06	4e-06
54	7e-06	4e-06
55	8e-06	4e-06
56	8e-06	4e-06
57	8e-06	4e-06
58	8e-06	5e-06
59	8e-06	4e-06
60	8e-06	5e-06
61	8e-06	5e-06
62	9e-06	5e-06
63	9e-06	6e-06
64	9e-06	5e-06
65	9e-06	6e-06
66	9e-06	6e-06
67	1e-05	6e-06
68	1e-05	6e-06
69	1e-05	2e-05
70	1e-05	7e-06
71	1e-05	6e-06
72	1e-05	6e-06
73	1e-05	7e-06
74	1e-05	7e-06
75	1e-05	6e-06
76	1.1e-05	8e-06
77	1.1e-05	8e-06
78	1.1e-05	7e-06
79	1.1e-05	8e-06
80	1.1e-05	8e-06
81	1.2e-05	8e-06
82	1.1e-05	8e-06
83	1.2e-05	8e-06
84	1.2e-05	8e-06
85	1.2e-05	9e-06
86	1.2e-05	9e-06
87	1.2e-05	9e-06
88	1.3e-05	9e-06
89	1.3e-05	1.1e-05
90	1.3e-05	1e-05
91	1.3e-05	1e-05
92	1.3e-05	1e-05
93	1.4e-05	1e-05
94	1.3e-05	1e-05
95	1.4e-05	1.2e-05
96	1.4e-05	1.2e-05
97	1.4e-05	1.1e-05
98	1.4e-05	1.1e-05
99	1.5e-05	1.1e-05
100	1.5e-05	1.2e-05
101	1.5e-05	1.1e-05
102	1.5e-05	1.2e-05
103	1.5e-05	1.1e-05
104	1.5e-05	1.3e-05
105	1.6e-05	1.3e-05
106	1.6e-05	1.3e-05
107	1.6e-05	1.2e-05
108	1.6e-05	1.4e-05
109	1.6e-05	1.5e-05
110	1.6e-05	1.4e-05
111	1.6e-05	1.5e-05
112	1.6e-05	1.6e-05
113	1.6e-05	1.5e-05
114	1.7e-05	1.5e-05
115	1.7e-05	1.4e-05
116	1.7e-05	1.4e-05
117	1.7e-05	1.5e-05
118	1.8e-05	1.6e-05
119	1.8e-05	1.8e-05
120	1.8e-05	1.6e-05
121	1.8e-05	1.8e-05
122	1.8e-05	1.7e-05
123	1.9e-05	1.8e-05
124	1.9e-05	1.9e-05
125	1.8e-05	2e-05
126	1.8e-05	1.9e-05
127	1.9e-05	1.9e-05
128	1.8e-05	1.8e-05
129	1.9e-05	1.8e-05
130	1.9e-05	1.9e-05
131	1.9e-05	1.8e-05
132	1.9e-05	1.9e-05
133	1.9e-05	1.9e-05
134	2e-05	2.2e-05
135	2e-05	2e-05
136	2e-05	1.8e-05
137	2e-05	2.1e-05
138	2e-05	1.9e-05
139	2e-05	2.1e-05
140	2.1e-05	2.1e-05
141	2e-05	2.3e-05
142	2.1e-05	2.3e-05
143	2.1e-05	2e-05
144	2.1e-05	2.5e-05
145	2.1e-05	2.3e-05
146	2.1e-05	2.3e-05
147	2.2e-05	2.3e-05
148	3.6e-05	2.3e-05
149	2.6e-05	2.4e-05
150	2.1e-05	2.3e-05
151	2.2e-05	2.4e-05
152	2.2e-05	2.5e-05
153	2.2e-05	2.4e-05
154	2.2e-05	2.5e-05
155	2.2e-05	2.6e-05
156	2.2e-05	2.5e-05
157	2.2e-05	2.6e-05
158	2.2e-05	2.7e-05
159	2.2e-05	2.4e-05
160	2.2e-05	2.5e-05
161	2.2e-05	2.8e-05
162	2.3e-05	2.8e-05
163	2.3e-05	2.5e-05
164	2.4e-05	2.9e-05
165	2.4e-05	3e-05
166	2.4e-05	2.5e-05
167	2.4e-05	2.8e-05
168	2.4e-05	2.9e-05
169	2.4e-05	2.7e-05
170	2.5e-05	3.1e-05
171	2.5e-05	3.2e-05
172	2.5e-05	3.2e-05
173	2.5e-05	3.3e-05
174	2.5e-05	3e-05
175	2.5e-05	3.2e-05
176	2.6e-05	3.3e-05
177	2.6e-05	3.2e-05
178	2.5e-05	3.2e-05
179	2.5e-05	3.2e-05
180	2.6e-05	3.3e-05
181	2.6e-05	3.7e-05
182	2.6e-05	3.5e-05
