Tamanho	Intercala	Merge
1	2e-06	3e-06
2	2e-06	2e-06
3	2e-06	2e-06
4	2e-06	2e-06
5	2e-06	2e-06
6	2e-06	2e-06
7	2e-06	2e-06
8	2e-06	2e-06
9	3e-06	2e-06
10	3e-06	2e-06
11	3e-06	3e-06
12	3e-06	3e-06
13	3e-06	3e-06
14	3e-06	3e-06
15	4e-06	3e-06
16	4e-06	3e-06
17	4e-06	3e-06
18	4e-06	3e-06
19	4e-06	3e-06
20	4e-06	3e-06
21	4e-06	4e-06
22	4e-06	4e-06
23	4e-06	4e-06
24	5e-06	4e-06
25	5e-06	4e-06
26	5e-06	4e-06
27	5e-06	4e-06
28	5e-06	5e-06
29	5e-06	5e-06
30	5e-06	4e-06
31	6e-06	5e-06
32	6e-06	5e-06
33	6e-06	5e-06
34	6e-06	5e-06
35	6e-06	5e-06
36	6e-06	5e-06
37	6e-06	5e-06
38	7e-06	6e-06
39	7e-06	6e-06
40	7e-06	2.1e-05
41	1e-05	1.4e-05
42	1e-05	7e-06
43	8e-06	7e-06
44	2.7e-05	7e-06
45	8e-06	7e-06
46	8e-06	7e-06
47	1.2e-05	7e-06
48	8e-06	7e-06
49	9e-06	7e-06
50	9e-06	7e-06
51	9e-06	7e-06
52	9e-06	8e-06
53	1e-05	8e-06
54	1e-05	8e-06
55	1e-05	8e-06
56	1e-05	8e-06
57	1e-05	8e-06
58	1e-05	9e-06
59	1.1e-05	9e-06
60	1e-05	8e-06
61	1.1e-05	2.4e-05
62	1.4e-05	1e-05
63	1.2e-05	9e-06
64	1.2e-05	1e-05
65	1.1e-05	1.1e-05
66	1.2e-05	1e-05
67	1.2e-05	1e-05
68	1.2e-05	1e-05
69	1.2e-05	1e-05
70	1.2e-05	2.9e-05
71	1.6e-05	1.3e-05
72	1.4e-05	1.3e-05
73	1.3e-05	1.3e-05
74	1.4e-05	1.3e-05
75	1.4e-05	1.3e-05
76	1.4e-05	1.2e-05
77	1.4e-05	1.1e-05
78	1.4e-05	1.1e-05
79	3.3e-05	1.2e-05
80	1.4e-05	1.2e-05
81	1.5e-05	1.2e-05
82	1.5e-05	1.2e-05
83	1.5e-05	1.2e-05
84	1.5e-05	1.2e-05
85	1.5e-05	1.2e-05
86	1.5e-05	1.3e-05
87	1.6e-05	1.3e-05
88	1.5e-05	1.3e-05
89	1.6e-05	1.3e-05
90	1.6e-05	1.3e-05
91	1.6e-05	1.4e-05
92	1.6e-05	1.4e-05
93	1.6e-05	1.4e-05
94	1.7e-05	1.4e-05
