Tamanho	MS	QS
1000	0.000339	0.000308
2000	0.00073	0.000625
3000	0.001126	0.000946
4000	0.001765	0.001304
5000	0.001974	0.001296
6000	0.001687	0.001458
7000	0.001983	0.001698
8000	0.002318	0.00197
9000	0.002629	0.002395
10000	0.004079	0.002498
11000	0.003145	0.002774
12000	0.003554	0.003005
13000	0.003896	0.003306
14000	0.004224	0.003592
15000	0.004586	0.004165
16000	0.004905	0.004121
17000	0.005329	0.004415
18000	0.005568	0.004725
19000	0.005903	0.005142
20000	0.006177	0.00628
21000	0.006423	0.008537
22000	0.008971	0.00588
23000	0.007206	0.006176
24000	0.007308	0.006411
25000	0.007826	0.007198
26000	0.00827	0.007111
27000	0.008803	0.007323
28000	0.008904	0.007534
29000	0.009528	0.008044
30000	0.009618	0.008728
31000	0.010394	0.008456
32000	0.010288	0.008679
33000	0.010596	0.009058
34000	0.011097	0.009742
35000	0.011162	0.01024
36000	0.011577	0.009977
37000	0.012474	0.010255
38000	0.01243	0.010537
39000	0.012483	0.010815
40000	0.012855	0.011063
41000	0.013124	0.011715
42000	0.013548	0.011672
43000	0.014544	0.012542
44000	0.014413	0.01222
45000	0.014311	0.012576
46000	0.014876	0.012881
47000	0.01572	0.013721
48000	0.015466	0.01346
49000	0.015969	0.013777
50000	0.01683	0.014123
51000	0.016532	0.014337
52000	0.017124	0.014665
53000	0.021262	0.015174
54000	0.017824	0.015531
55000	0.01801	0.019481
56000	0.019297	0.016099
57000	0.019437	0.016942
58000	0.019389	0.017178
59000	0.01969	0.017639
60000	0.020097	0.017368
61000	0.020228	0.017536
62000	0.020913	0.017874
63000	0.0209	0.018292
64000	0.021284	0.018956
65000	0.021851	0.018596
66000	0.022087	0.019675
67000	0.022387	0.01944
68000	0.022995	0.019646
69000	0.024204	0.020084
70000	0.023757	0.020343
71000	0.02812	0.020685
72000	0.024354	0.02116
73000	0.025762	0.021288
74000	0.024659	0.021598
75000	0.030686	0.022061
76000	0.026157	0.022164
77000	0.026212	0.022485
78000	0.026297	0.023507
79000	0.030795	0.023161
80000	0.026775	0.024799
81000	0.027447	0.024002
82000	0.028967	0.02441
83000	0.028274	0.024732
84000	0.030001	0.025089
85000	0.029035	0.026453
86000	0.029415	0.025245
87000	0.031189	0.025686
88000	0.030312	0.026201
89000	0.032257	0.026514
90000	0.030552	0.031273
91000	0.030885	0.026811
92000	0.03107	0.027027
93000	0.032174	0.027544
94000	0.031694	0.02915
95000	0.032067	0.028061
96000	0.032997	0.028301
97000	0.033612	0.028757
98000	0.033159	0.029415
99000	0.033857	0.029241
100000	0.034208	0.029754
