Tamanho	MS	QS
1000	0,000344	0,000309
2000	0,00051	0,000436
3000	0,000794	0,00155
4000	0,001066	0,000917
5000	0,001411	0,001185
6000	0,001683	0,001429
7000	0,002008	0,001707
8000	0,002321	0,001929
9000	0,002649	0,002208
10000	0,002967	0,002473
11000	0,00331	0,002751
12000	0,003582	0,003028
13000	0,003864	0,003342
14000	0,004268	0,003566
15000	0,004634	0,003897
16000	0,004978	0,004107
17000	0,005329	0,004467
18000	0,006632	0,004713
19000	0,005901	0,005057
20000	0,008167	0,007793
21000	0,00653	0,007336
22000	0,006658	0,005842
23000	0,007125	0,006098
24000	0,007547	0,007402
25000	0,007715	0,006712
26000	0,008181	0,007402
27000	0,008632	0,007254
28000	0,008787	0,007605
29000	0,00927	0,007901
30000	0,009584	0,009273
31000	0,009854	0,008448
32000	0,010396	0,008882
33000	0,010742	0,009144
34000	0,011019	0,009409
35000	0,01244	0,00977
36000	0,011807	0,009947
37000	0,012022	0,010249
38000	0,012417	0,010927
39000	0,013661	0,010837
40000	0,012805	0,011046
41000	0,013433	0,011459
42000	0,013701	0,011734
43000	0,015429	0,011908
44000	0,014696	0,012667
45000	0,015092	0,012622
46000	0,016179	0,012935
47000	0,015577	0,0131
48000	0,015708	0,013379
49000	0,015926	0,014923
50000	0,016638	0,014398
51000	0,017175	0,014444
52000	0,018548	0,015032
53000	0,017638	0,015036
54000	0,017963	0,015469
55000	0,019335	0,015684
56000	0,018853	0,015931
57000	0,018533	0,017373
58000	0,019081	0,016576
59000	0,019252	0,016868
60000	0,021147	0,017914
61000	0,020537	0,017572
62000	0,021056	0,018987
63000	0,021431	0,01805
64000	0,021408	0,018431
65000	0,023455	0,019357
66000	0,022081	0,019071
67000	0,024014	0,019899
68000	0,023193	0,019645
69000	0,024419	0,020162
70000	0,024042	0,020439
71000	0,02523	0,02096
72000	0,024506	0,020962
73000	0,02721	0,023564
74000	0,024859	0,021878
75000	0,02577	0,021973
76000	0,026257	0,022232
77000	0,026229	0,023135
78000	0,026497	0,02293
79000	0,026913	0,023779
80000	0,027081	0,023344
81000	0,027419	0,023654
82000	0,027666	0,023893
83000	0,028142	0,024259
84000	0,028826	0,024515
85000	0,029401	0,025172
86000	0,029693	0,025474
87000	0,029721	0,025557
88000	0,02991	0,025946
89000	0,030302	0,026242
90000	0,030717	0,026533
91000	0,031033	0,027364
92000	0,031239	0,028915
93000	0,031588	0,028162
94000	0,03237	0,028283
95000	0,032188	0,028149
96000	0,032616	0,029146
97000	0,03323	0,028589
98000	0,033144	0,028814
99000	0,033573	0,030208
100000	0,033862	0,02964
101000	0,034492	0,030961
102000	0,034902	0,030935
103000	0,035604	0,031428
104000	0,0359	0,031055
105000	0,036637	0,031342
106000	0,03655	0,031999
107000	0,037403	0,032147
108000	0,037301	0,032346
109000	0,037977	0,033493
110000	0,038592	0,033067
111000	0,038435	0,033546
112000	0,038996	0,033823
113000	0,03926	0,034022
114000	0,039108	0,034059
115000	0,040011	0,034646
116000	0,039963	0,036746
117000	0,04054	0,036197
118000	0,04102	0,035498
119000	0,041783	0,03673
120000	0,041915	0,036195
121000	0,042329	0,036656
122000	0,042998	0,037058
123000	0,043424	0,037254
124000	0,043518	0,037604
125000	0,043699	0,038053
126000	0,044478	0,038104
127000	0,044491	0,038278
128000	0,045562	0,03922
129000	0,045933	0,038873
130000	0,045457	0,039319
131000	0,046813	0,039728
132000	0,046883	0,039992
133000	0,047424	0,040565
134000	0,047861	0,040716
135000	0,047634	0,041328
136000	0,048541	0,041305
137000	0,049421	0,042046
138000	0,049531	0,042282
139000	0,050278	0,042671
140000	0,050601	0,042686
141000	0,050203	0,043274
142000	0,050333	0,045034
143000	0,051351	0,043834
144000	0,051461	0,044245
145000	0,051516	0,044477
146000	0,051961	0,045168
147000	0,052206	0,045596
148000	0,052514	0,045851
149000	0,052823	0,046168
150000	0,053771	0,046645
151000	0,053562	0,046831
152000	0,054633	0,047418
153000	0,054513	0,047307
154000	0,055297	0,047379
155000	0,055478	0,047661
156000	0,055782	0,048058
157000	0,056217	0,048261
158000	0,056133	0,049874
159000	0,056447	0,048942
160000	0,056876	0,050128
161000	0,0568	0,051238
162000	0,057444	0,049729
163000	0,057751	0,05136
164000	0,058057	0,05065
165000	0,059029	0,050657
166000	0,05918	0,051307
167000	0,060386	0,051307
168000	0,06041	0,052934
169000	0,061051	0,052617
170000	0,060438	0,053293
171000	0,061339	0,053886
172000	0,061317	0,053399
173000	0,062102	0,053742
174000	0,062151	0,053992
175000	0,062579	0,054133
176000	0,0628	0,054719
177000	0,063415	0,054942
178000	0,064234	0,055139
179000	0,064237	0,055575
180000	0,06434	0,056061
181000	0,064779	0,056029
182000	0,065306	0,056474
183000	0,065538	0,057064
184000	0,065894	0,05695
185000	0,066369	0,057922
186000	0,066574	0,05833
187000	0,066773	0,057896
188000	0,066958	0,05836
189000	0,067282	0,059103
190000	0,068621	0,058818
191000	0,068118	0,05999
192000	0,068567	0,059847
193000	0,069002	0,059773
194000	0,06943	0,060406
195000	0,069787	0,060484
196000	0,069517	0,060711
197000	0,069617	0,061317
198000	0,070504	0,062199
199000	0,071084	0,062748
200000	0,071344	0,062314
201000	0,072066	0,063855
202000	0,072955	0,063204
203000	0,073348	0,063731
204000	0,074234	0,06419
205000	0,074157	0,064149
206000	0,074777	0,065021
207000	0,074849	0,064874
208000	0,075755	0,066205
209000	0,075636	0,066653
210000	0,075841	0,066512
211000	0,076755	0,066749
212000	0,076794	0,066775
213000	0,077662	0,067269
214000	0,077368	0,067654
215000	0,077395	0,067938
216000	0,078665	0,069234
217000	0,079229	0,068597
218000	0,079233	0,07005
219000	0,079489	0,069126
220000	0,079551	0,06977
221000	0,079501	0,069876
222000	0,080978	0,070134
223000	0,081575	0,071495
224000	0,081352	0,073399
225000	0,082171	0,071313
226000	0,08116	0,072302
227000	0,081863	0,072005
228000	0,081895	0,072683
229000	0,082416	0,072415
230000	0,082846	0,072958
231000	0,082995	0,07351
232000	0,084132	0,075125
233000	0,084109	0,073772
234000	0,084837	0,07509
235000	0,085352	0,074677
236000	0,08597	0,074804
237000	0,086582	0,075315
238000	0,086745	0,076311
239000	0,086969	0,077177
240000	0,087683	0,076214
241000	0,088526	0,076598
242000	0,088746	0,077559
243000	0,088872	0,078276
244000	0,089607	0,078625
245000	0,089919	0,07769
246000	0,090208	0,078196
247000	0,090168	0,081473
248000	0,092895	0,078994
249000	0,092236	0,079236
250000	0,092136	0,080361
251000	0,092184	0,081933
252000	0,092656	0,081642
253000	0,093312	0,080618
254000	0,094234	0,081129
255000	0,093651	0,081283
256000	0,094873	0,081469
257000	0,095071	0,084673
258000	0,094544	0,083567
259000	0,094905	0,083544
260000	0,095802	0,082865
261000	0,096079	0,084361
262000	0,096386	0,083706
263000	0,097906	0,083995
264000	0,097355	0,084309
265000	0,098467	0,085067
266000	0,098783	0,085919
267000	0,099491	0,08695
268000	0,100084	0,086192
269000	0,100238	0,087905
270000	0,10014	0,087123
271000	0,100463	0,087477
272000	0,101121	0,089451
273000	0,102087	0,087856
274000	0,102299	0,090536
275000	0,10259	0,088594
276000	0,101973	0,088974
277000	0,103471	0,089696
278000	0,103427	0,090288
279000	0,103253	0,090156
280000	0,104375	0,09024
281000	0,104091	0,092187
282000	0,104919	0,091371
283000	0,105978	0,091655
284000	0,105654	0,093893
285000	0,106821	0,092138
286000	0,107915	0,094849
287000	0,10781	0,094
288000	0,108595	0,093154
289000	0,107828	0,09344
290000	0,108292	0,093687
291000	0,107815	0,09443
292000	0,108872	0,094443
293000	0,109022	0,094755
294000	0,109689	0,0952
295000	0,108685	0,096034
296000	0,109956	0,095457
297000	0,110679	0,096579
298000	0,110905	0,096409
299000	0,110507	0,096863
300000	0,111414	0,097524
301000	0,112162	0,098175
302000	0,112781	0,098158
303000	0,113729	0,099142
304000	0,113231	0,098734
305000	0,113229	0,100039
306000	0,114027	0,099308
307000	0,114229	0,100948
308000	0,114449	0,101314
309000	0,115241	0,101063
